usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,1.0767,"[""0.034"",""0.145"",""0.545"",""0.804""]","[1,0,1,1]",0,39,39,39,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,0.6518,"[""0.195"",""0.508"",""0.153"",""0.958""]","[1,1,0,1]",0,40,40,40,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,0.632,"[""0.107"",""0.415"",""0.606"",""0.767""]","[1,1,1,0]",0,41,41,41,1,1,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,0.5308,"[""0.034"",""0.369"",""0.545"",""0.283""]","[1,1,1,0]",0,42,42,42,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,0.581,"[""0.233"",""0.508"",""0.878"",""0.958""]","[0,1,1,1]",0,43,43,43,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,1.1817,"[""0.162"",""0.369"",""0.545"",""0.804""]","[0,1,1,1]",0,44,44,44,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,0.9067,"[""0.324"",""0.460"",""0.069"",""0.920""]","[1,1,0,1]",0,45,45,45,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,0.9495,"[""0.107"",""0.275"",""0.606"",""0.705""]","[1,0,1,1]",0,46,46,46,1,1,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,0.8477,"[""0.034"",""0.369"",""0.162"",""0.804""]","[1,1,0,1]",0,47,47,47,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,0.4647,"[""0.107"",""0.415"",""0.763"",""0.705""]","[1,1,0,1]",0,48,48,48,1,1,1,,,0,FALSE,,,,,,,,,,,,,
